Model_Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,GNaK,GCaL,GJrel,GJup,Ca50,Myo,Cao
483,1.20308,0.870543,0.970848,0.811163,1.33814,1.1609,0.752121,1.41265,0.698066,1.48981,1.22142,1,1,1
484,0.50874,0.760679,0.966216,0.963217,0.51446,1.14458,1.07398,0.665187,1.15033,0.515239,0.841452,1,1,1
487,1.14075,0.757876,1.31051,1.44558,0.816312,1.16298,1.27049,0.700867,1.31993,1.26223,1.34861,1,1,1
488,0.988317,0.709554,0.525697,0.834061,0.947884,1.36389,0.576564,1.01721,0.911645,1.17359,0.768183,1,1,1
490,0.632049,0.769165,0.891811,1.17464,0.9764,0.675198,1.05159,0.852975,1.22096,1.38133,1.35657,1,1,1
505,0.789913,1.36086,1.04767,1.24735,1.25339,1.15989,0.545029,1.09552,0.806891,1.4095,1.17529,1,1,1
508,1.00605,0.737375,0.729119,0.64067,1.01961,1.21645,1.00076,0.903399,0.964222,1.16952,1.16427,1,1,1
509,1.39423,1.07863,1.0081,1.26828,0.996642,0.939151,0.953775,0.645354,1.02869,0.564415,0.834187,1,1,1
520,0.855656,1.01855,0.782674,0.953853,0.853503,0.727106,0.718676,0.804994,1.07795,1.43312,0.838178,1,1,1
522,0.515908,0.831707,1.3562,0.916827,0.998532,0.649209,1.45302,1.40777,1.37278,0.622173,1.00734,1,1,1
523,1.18009,1.3891,0.737088,1.46775,0.535925,0.74571,1.09926,0.915139,1.30408,1.24909,1.17188,1,1,1
526,0.627767,0.75483,0.972541,0.862348,1.31731,0.866624,0.740571,1.27413,0.857,0.823935,1.05359,1,1,1
532,1.06933,0.828818,1.20981,1.33778,0.758412,1.18869,0.72881,1.25711,0.997312,0.652057,1.35496,1,1,1
533,0.76527,1.10154,0.960209,1.4631,1.42654,1.29367,0.959912,1.1973,1.44107,0.95392,0.856295,1,1,1
535,0.835862,1.10986,1.26054,0.762246,0.558745,1.01824,0.693175,0.686434,0.936584,0.767786,1.01397,1,1,1
546,1.23059,0.903813,0.70579,0.670664,0.817988,1.39037,1.43298,0.888674,1.03025,1.31672,1.15926,1,1,1
547,1.0357,0.973151,1.48625,0.846378,0.988485,0.755105,1.13966,0.805191,0.959613,0.569977,0.891545,1,1,1
551,1.28663,1.49173,1.1462,0.666471,0.61857,0.914226,0.581501,1.16776,0.629081,0.91051,1.08529,1,1,1
552,0.9133,0.842572,1.12963,1.22331,1.25971,0.813165,0.810471,1.03483,1.14533,1.46139,0.753037,1,1,1
554,0.653653,1.36254,0.948508,0.934814,1.49315,1.24374,0.896114,1.12452,0.987284,0.599773,0.961661,1,1,1
558,1.21936,0.813241,0.766641,1.46806,1.38051,1.42241,0.586197,1.28788,0.913067,1.49747,1.23753,1,1,1
559,1.49405,1.49649,1.39086,0.894402,1.20411,1.10524,1.44593,1.34323,1.22131,0.889343,0.945886,1,1,1
562,1.43001,1.42698,0.736222,0.983372,0.701694,0.590283,1.18099,1.44361,1.29159,1.11684,0.850639,1,1,1
563,1.11245,0.931599,0.983221,1.47753,0.675281,0.545762,0.7396,1.21637,1.12316,1.26696,1.1207,1,1,1
570,0.59944,1.27823,1.37057,1.03293,0.567344,0.863375,1.16006,0.71607,0.891903,1.47414,1.16038,1,1,1
574,0.612256,0.865827,0.952936,1.15103,0.750431,1.09144,0.936709,1.31631,1.40365,1.27497,0.88993,1,1,1
577,0.5974,1.13193,1.12174,0.91324,0.500258,0.517519,0.992402,0.707552,1.06433,1.24255,1.20495,1,1,1
578,0.715828,1.35656,1.04445,0.875659,1.36509,1.44742,0.934318,0.853175,0.767274,0.926358,1.19018,1,1,1
579,1.46928,1.0976,0.598955,1.23011,1.02262,0.519509,0.655117,0.565385,1.06053,0.960905,0.669258,1,1,1
580,1.19058,0.940464,0.859695,0.813896,1.34685,1.24583,0.780242,0.914306,1.06258,0.654825,0.713233,1,1,1
581,0.850904,0.852161,0.78894,0.954717,1.13254,0.970677,1.46752,1.12837,1.48139,0.711692,1.24065,1,1,1
582,0.716666,1.02368,1.2421,1.02269,0.764922,0.68105,1.06167,0.945716,1.20434,1.20052,0.784145,1,1,1
584,0.587428,0.740037,1.22398,1.2067,1.31964,1.08379,0.997547,1.21703,1.05073,1.40198,0.640999,1,1,1
586,1.26201,1.36828,1.10221,0.830969,0.740712,0.77781,0.868215,0.919186,0.985376,0.792689,1.03298,1,1,1
589,1.42975,0.854841,0.847126,1.14909,0.757093,1.25914,1.09883,1.05305,1.38572,1.45797,0.660037,1,1,1
594,1.437,0.858347,0.940455,1.48761,0.582465,0.67356,1.32157,0.912221,1.44511,0.617259,0.999846,1,1,1
603,0.842345,1.03785,0.87835,0.856834,1.46677,0.815678,0.593325,1.28946,0.783977,0.786398,0.634242,1,1,1
604,0.540514,0.748638,0.956486,0.63165,0.806851,0.704965,0.97852,1.31957,0.916355,0.791155,0.84907,1,1,1
606,0.807844,1.45007,1.19751,0.761692,0.795955,0.676145,1.38204,1.01088,1.11862,0.561028,0.933801,1,1,1
609,1.08182,0.919797,0.675659,0.973389,0.596755,0.535985,1.1289,0.681428,1.13201,0.936108,0.683409,1,1,1
617,1.34714,1.43464,1.4154,0.823751,0.73686,0.629993,0.605977,1.07786,0.885473,1.12037,0.965136,1,1,1
619,1.03234,1.20444,0.682031,1.30269,0.505564,1.00322,0.738303,1.19292,1.16273,0.562489,1.42003,1,1,1
625,1.09374,0.611695,1.47961,0.971647,0.782512,0.839344,0.626959,1.03887,0.735452,1.18702,0.795582,1,1,1
633,1.31633,1.05879,1.3942,1.28695,1.39748,1.41944,1.44632,1.10837,1.15867,1.08159,0.998404,1,1,1
637,1.15817,0.65298,1.17174,0.533612,1.38858,0.880885,1.16878,1.49095,1.2594,1.26588,0.871762,1,1,1
639,0.673534,1.13702,1.43045,1.33468,0.977156,0.698683,0.781341,1.48734,1.10592,0.768854,0.671859,1,1,1
641,1.35032,1.30158,0.630857,1.07532,1.40109,1.08992,0.504582,1.28524,0.681958,1.06863,0.771417,1,1,1
643,1.28545,0.785777,1.15202,0.884954,0.791319,1.28014,0.56894,1.01397,0.616262,1.19951,1.19169,1,1,1
644,0.96473,1.32682,1.07016,0.924031,0.63063,1.17153,0.923816,1.29586,0.99322,0.865434,0.733322,1,1,1
648,1.39741,0.896886,0.762037,1.23797,0.971314,0.821165,0.782825,0.955928,0.873302,0.68506,0.798357,1,1,1
652,0.951337,1.08477,0.643243,1.1526,0.814698,0.778798,1.37551,1.01102,1.27127,1.15124,0.972766,1,1,1
653,0.579137,1.32008,0.616021,0.738191,0.766825,1.49295,1.42728,1.44791,1.08828,1.41906,0.883258,1,1,1
654,1.38829,1.40579,0.667782,1.39764,0.759953,1.04761,1.45456,1.04704,1.39893,1.21582,1.40821,1,1,1
655,1.29832,1.15423,0.642034,1.38383,0.611145,0.729973,0.557001,1.37316,0.653017,1.00707,1.41008,1,1,1
657,1.1829,0.647095,0.662918,0.717169,0.893099,1.28763,1.03871,0.729943,1.23715,1.04654,0.763382,1,1,1
658,1.24916,0.607823,0.580819,1.35128,1.45567,1.36262,1.42444,1.16871,1.30566,0.570731,1.03386,1,1,1
659,1.14296,1.23314,1.21423,0.611901,1.32396,0.875682,0.524791,0.506006,0.712137,0.587871,0.786521,1,1,1
664,0.688718,0.653281,1.36304,0.758675,0.90514,0.643865,1.29877,1.31451,1.0856,0.866227,1.19309,1,1,1
666,1.05531,0.866048,1.4298,1.29211,0.986919,1.00766,1.02828,1.3447,1.07242,1.39912,0.887478,1,1,1
672,0.819799,0.542762,1.08088,1.33544,0.727162,0.849512,1.19596,1.48364,1.239,0.634998,0.995147,1,1,1
678,0.965252,0.504687,0.614652,0.759536,0.633731,1.11197,0.838387,1.47231,1.45614,1.0416,0.835746,1,1,1
681,0.905079,1.4336,0.827037,0.837772,0.576869,1.44555,1.10104,0.833053,0.84807,0.540398,1.39023,1,1,1
686,1.32232,1.38549,1.06701,1.20368,0.932429,1.42937,1.4111,1.3766,1.19198,1.14899,0.919719,1,1,1
688,0.971911,1.47732,0.686709,1.25654,0.961244,0.572918,0.93966,0.660892,0.939397,0.547729,0.624044,1,1,1
689,0.906343,0.984981,0.730139,0.692979,1.18665,1.23672,1.00974,1.3991,1.20903,1.0702,1.21038,1,1,1
694,1.42798,1.44711,0.552964,0.956415,1.05468,0.969463,0.720729,1.08786,0.819623,0.516454,0.831226,1,1,1
696,0.963857,0.697681,1.42612,1.11358,1.41696,0.820493,0.845551,1.38727,0.836498,0.873195,1.29146,1,1,1
698,0.937903,0.843235,1.43238,1.03373,0.655667,1.4746,1.27928,0.634848,1.44321,1.49036,0.695853,1,1,1
705,1.47389,0.684247,0.550394,0.612031,0.833081,1.21899,0.599074,0.932136,0.861814,0.967002,1.25056,1,1,1
710,1.4976,1.33384,0.872132,1.4954,0.944128,1.23226,1.13622,1.2617,1.10042,1.03256,1.25492,1,1,1
716,1.19972,0.719005,1.40826,1.1725,0.962583,1.30479,1.33731,1.35135,1.18146,0.579405,1.25382,1,1,1
718,1.10442,0.506826,1.02158,1.2877,0.653583,0.804633,1.21093,1.24403,1.38046,1.3438,1.37085,1,1,1
721,1.49378,1.20272,0.672916,1.02122,1.33687,0.780097,1.15422,1.17102,1.47905,1.14246,0.916381,1,1,1
727,1.10905,0.587809,0.840149,1.27304,1.27304,1.45483,0.638559,1.38214,1.25494,1.24737,0.776177,1,1,1
729,1.05905,0.680705,0.933486,0.752904,1.33379,1.40215,1.18648,0.65505,1.24367,0.9799,1.26767,1,1,1
741,1.22247,1.13254,0.519947,1.09056,0.666198,1.15434,1.12947,0.80355,1.34947,0.816329,0.783846,1,1,1
743,1.07404,1.18419,1.36884,1.01334,1.18531,1.16807,1.14206,1.06731,1.26996,1.37532,1.06531,1,1,1
745,0.580339,1.04347,1.13331,1.16065,1.45977,1.03079,1.40725,1.37785,1.40081,1.3096,1.33192,1,1,1
746,1.46732,1.28824,0.900094,0.989035,0.519169,1.09367,0.603365,0.808638,0.802685,1.04595,0.643337,1,1,1
747,0.626017,0.892089,0.518456,1.04524,0.634626,1.39929,0.750443,1.45023,0.757608,1.2792,1.38367,1,1,1
751,1.26807,0.527359,1.1691,1.09506,1.05543,0.625219,0.512481,1.06611,0.709872,1.32422,0.895643,1,1,1
757,0.782116,1.35921,1.24492,0.888596,0.840422,0.583431,1.30516,1.17625,1.02522,1.0572,0.700009,1,1,1
758,1.46098,1.16507,1.05803,0.77628,0.81954,0.512922,1.30383,0.819679,1.0711,0.730914,1.00115,1,1,1
765,0.562433,1.1816,1.23541,1.29664,0.799297,1.22097,0.554984,1.47516,0.747303,1.25172,0.741872,1,1,1
767,0.518216,0.549131,0.601278,0.54293,1.25669,1.41392,1.36743,0.753595,1.14628,0.558667,1.03703,1,1,1
774,1.16812,0.63553,1.2121,0.975888,0.823799,0.748421,0.676921,0.603506,1.11431,1.33857,0.739326,1,1,1
778,1.32696,0.991969,0.806469,1.19917,0.665457,1.43879,1.27201,1.06424,1.08272,1.08989,1.47358,1,1,1
785,1.00002,1.41384,1.36182,0.737652,1.26365,1.24111,0.813047,0.643852,0.852636,1.13867,0.792237,1,1,1
791,1.26633,0.583995,1.08789,0.819378,0.663057,0.892986,1.0255,0.809072,1.02383,0.586917,1.33215,1,1,1
792,0.753737,1.42048,0.825639,0.987216,1.40301,1.37407,1.05018,1.36926,1.20666,0.594311,1.02951,1,1,1
793,0.745352,1.47239,1.40696,1.00518,1.23274,0.506288,0.736643,0.692964,0.811845,1.41328,1.13531,1,1,1
798,0.851783,1.11097,0.94428,1.16778,0.509341,0.996906,1.48458,1.35003,1.3234,1.36029,0.951344,1,1,1
800,1.2395,0.608075,0.593697,1.38918,1.4288,1.26274,1.26522,1.09127,1.17814,1.40221,0.855624,1,1,1
808,0.921557,1.39065,0.906984,0.921741,1.23008,0.785439,1.39029,1.38985,1.15753,1.12144,0.940879,1,1,1
813,1.08839,0.605644,0.656997,0.933149,1.24571,0.960025,0.857494,1.31553,1.15267,0.546161,0.774108,1,1,1
816,0.674145,0.80397,0.690158,1.03523,0.916728,0.674975,1.22814,0.883381,0.921556,1.35335,1.08263,1,1,1
817,0.76738,1.45597,1.43877,1.00671,1.24002,0.642677,0.983261,1.11539,0.93576,1.43417,0.703906,1,1,1
821,0.611381,0.768001,1.38008,1.03839,0.724875,1.42377,1.49261,1.365,1.20004,0.992728,0.688539,1,1,1
822,1.08058,0.555181,0.500151,1.3633,0.555826,0.669373,1.27502,0.938785,1.29714,1.16099,0.737076,1,1,1
824,1.10034,0.671512,1.00101,1.24121,0.550874,1.08402,0.525444,1.27019,0.903178,0.790341,1.30466,1,1,1
825,1.1952,1.13944,0.910423,1.22875,1.129,0.762349,0.981146,0.865003,0.920201,1.47923,1.37638,1,1,1
827,0.814449,1.18681,0.929748,1.36817,1.44632,0.586386,1.43946,1.01566,1.07995,0.651395,1.07259,1,1,1
829,1.33794,1.12217,0.505594,0.826808,0.772614,0.695978,0.904018,0.653121,1.30295,0.686333,0.773991,1,1,1
838,1.26966,0.581447,0.527988,1.25353,0.974566,0.995713,1.04695,1.14313,1.33738,0.826869,1.43333,1,1,1
840,1.2313,0.812408,0.763374,0.842782,1.2204,1.33925,1.13872,0.968025,1.20101,1.45219,0.617087,1,1,1
841,1.09222,1.10568,0.754684,1.19535,0.584194,0.550745,0.870086,1.30229,0.966144,0.657038,0.761441,1,1,1
843,0.707376,0.645883,0.917524,0.775875,1.05756,1.22577,1.30715,0.917503,1.02974,0.776823,1.10196,1,1,1
855,0.933056,0.633012,1.2797,1.48364,0.760505,0.538666,1.31668,1.42613,1.43663,0.802357,0.674109,1,1,1
857,1.40216,0.61278,1.26984,0.510815,0.669079,0.997701,0.820483,0.524138,0.860126,1.02313,0.61992,1,1,1
862,1.40873,0.516405,0.815818,0.899198,1.43763,0.692802,1.47709,0.659936,1.28149,0.677688,0.83992,1,1,1
863,1.2704,0.707007,0.831324,0.850183,0.992227,1.45839,0.662754,0.667528,0.784337,1.45456,0.885544,1,1,1
864,0.616589,1.34857,1.02302,0.928453,0.911097,0.605818,1.1218,1.42296,0.999326,1.17601,1.15704,1,1,1
865,1.31839,1.00057,1.29086,0.695224,1.1651,0.965579,1.1993,1.02069,0.984701,1.10164,1.01723,1,1,1
868,0.867486,0.567924,0.74184,0.609816,0.821109,1.10442,1.33631,0.894866,1.13954,1.29484,0.654611,1,1,1
872,1.35268,0.636046,1.17566,1.40993,1.14232,1.04568,1.17408,1.46287,1.15995,0.971487,1.05212,1,1,1
873,0.538779,0.970304,1.47386,1.04321,1.13573,0.521929,1.27182,0.821508,1.03936,1.11995,1.08188,1,1,1
874,1.17054,0.777279,1.13181,1.33681,0.718952,0.930388,0.770521,1.3598,1.27993,0.553801,0.946635,1,1,1
876,1.22301,1.26173,0.585999,1.38076,0.720423,1.42786,1.49883,0.510753,1.02268,1.06558,1.12141,1,1,1
879,0.892754,0.728977,0.545433,0.643324,0.892672,1.19674,0.871264,0.951199,0.895856,0.801057,0.738421,1,1,1
880,0.778734,1.4857,0.862126,1.05748,0.926434,0.7636,0.555106,0.65031,0.685183,0.582039,0.896905,1,1,1
881,1.31985,0.997786,0.568261,0.949569,1.4659,0.737417,1.25191,0.856128,1.3566,1.28984,0.754179,1,1,1
882,0.861985,0.759507,1.40205,0.563587,0.756209,0.63552,0.600227,1.47485,0.773835,0.843364,1.2339,1,1,1
888,1.48,0.837197,1.33425,1.14576,0.951921,0.900055,1.10404,0.64246,1.27752,0.655135,0.687253,1,1,1
892,0.784744,0.789011,0.650995,1.16606,0.778328,0.879566,1.28956,1.15164,1.47079,1.46893,0.964001,1,1,1
893,0.923793,1.25523,1.01683,1.08513,1.14194,0.680469,0.773149,1.00879,0.945115,1.40691,0.860786,1,1,1
895,1.39107,0.514198,1.32472,0.678592,0.895305,0.822509,0.706621,0.878474,1.03224,0.901183,1.27022,1,1,1
897,0.710144,1.37139,1.36059,1.08785,1.16345,0.715598,0.670723,1.35361,0.564937,1.41261,1.33388,1,1,1
899,0.962735,0.849487,0.659324,0.843124,1.37413,1.20229,1.11492,0.566382,1.1473,1.02448,1.3423,1,1,1
901,1.09114,0.57133,1.1811,1.20265,0.8094,1.16348,0.561909,1.14067,0.679356,0.886943,1.36405,1,1,1
903,1.09,0.54134,0.562466,1.08692,1.35087,0.600088,1.01298,1.15253,1.09344,1.12691,0.8869,1,1,1
906,1.17902,0.794383,1.39661,0.807119,0.876618,1.02291,0.995413,1.42599,0.928994,1.34228,0.875471,1,1,1
909,1.40084,0.976089,1.21576,1.04724,0.553174,0.761129,1.22298,0.725872,1.21885,0.629272,0.791655,1,1,1
912,0.958213,1.14052,0.985083,0.990932,1.00351,1.31944,1.22126,0.694359,0.937073,0.870104,0.793313,1,1,1
914,1.0165,0.69004,1.35539,0.789671,1.42596,0.770058,1.15377,1.00485,1.30358,1.49189,0.782847,1,1,1
915,1.24723,0.734278,1.49297,0.805203,0.745971,0.544437,1.17858,0.516542,1.28701,0.554276,0.84735,1,1,1
919,1.01512,0.887794,0.574758,1.38297,1.2261,0.531597,0.930831,0.526623,1.44708,1.46249,0.666122,1,1,1
923,1.44641,0.820275,1.35184,0.731559,1.25755,0.548219,0.762323,0.840132,0.793025,1.44491,1.19726,1,1,1
924,0.723363,0.67705,0.613694,0.772997,0.890964,0.85844,1.2818,0.567582,1.09431,1.40057,1.06419,1,1,1
927,1.37103,0.548934,1.14017,0.582959,1.31079,1.0985,1.21606,0.539802,1.31498,0.729867,0.677605,1,1,1
929,1.15167,1.07525,1.22876,1.48678,0.909564,1.10619,1.39219,0.637546,1.28933,1.39073,0.726904,1,1,1
930,1.06065,1.41487,1.18504,0.912962,1.3843,0.989364,1.14587,1.00778,1.23658,1.02277,1.01844,1,1,1
932,0.552988,1.28408,0.758367,0.623149,1.44499,0.868763,0.637168,0.547317,0.54256,0.646797,1.11393,1,1,1
936,0.510083,0.604211,0.760416,1.14173,0.566917,0.560062,0.796357,1.43995,1.41574,1.35183,0.63227,1,1,1
938,1.0736,0.502902,0.835967,0.540321,0.99904,1.01076,1.17112,0.995106,1.21391,0.653617,0.707407,1,1,1
940,0.619134,0.905447,0.865286,1.1036,0.70508,0.627247,0.804819,1.14767,1.03319,0.740581,0.894391,1,1,1
941,0.949402,1.47884,1.38611,0.828262,1.20706,0.513339,1.21313,1.0262,1.33435,1.38498,0.751161,1,1,1
946,1.26125,1.12434,1.24368,0.964659,0.621275,1.47527,0.864901,0.891629,1.06645,1.07273,1.0007,1,1,1
951,1.43223,0.841142,1.39106,1.3094,1.4225,1.08881,0.503661,1.15915,0.859175,1.26999,1.17471,1,1,1
952,0.987598,1.29013,0.753385,1.34475,1.41194,1.2176,0.920264,1.41465,1.2123,0.747083,1.29742,1,1,1
955,0.843013,1.3845,0.950136,1.3799,1.49461,0.988836,1.33977,0.538833,1.4096,1.29958,0.785294,1,1,1
956,1.11043,0.648401,1.25937,0.795859,0.933153,0.710709,1.20923,1.05882,1.06132,1.32637,0.653516,1,1,1
958,1.39062,0.62765,0.646554,1.48568,0.709261,1.2471,0.698776,1.08525,1.13373,0.648567,1.32383,1,1,1
962,1.32914,1.10256,1.28184,1.3602,0.543485,0.787314,1.04218,0.778086,1.31635,1.20538,0.594675,1,1,1
963,1.27351,0.593949,0.738131,0.686082,0.945531,0.699467,0.727843,1.20533,1.16667,0.983574,1.01127,1,1,1
966,1.25316,1.31415,1.44664,1.48033,1.47876,1.10802,0.565117,1.04045,0.998121,0.520562,0.926552,1,1,1
976,1.23822,0.983089,0.958455,1.29856,1.42123,0.782831,0.579907,1.10299,0.691807,1.14931,1.21479,1,1,1
979,0.668405,0.523116,0.886164,0.794313,0.739199,0.943164,1.01908,1.0781,1.28477,1.46484,0.732106,1,1,1
981,0.735114,0.528217,1.26888,1.10579,0.90211,1.03535,1.12637,1.27106,1.35267,1.03425,0.582847,1,1,1
994,1.43438,1.2564,0.773576,0.679568,1.25186,0.91379,0.832834,0.928265,1.04183,0.947957,0.88451,1,1,1
995,0.785272,0.594706,0.57327,1.40184,0.827356,1.30166,1.43549,1.20866,1.16816,1.1617,1.11175,1,1,1
996,0.719732,0.573529,1.48468,0.89152,1.15876,0.525239,0.537446,0.649066,0.764553,0.896405,1.4832,1,1,1
998,1.18589,0.715407,1.17022,0.682489,1.35582,0.871968,1.16273,0.978069,1.09071,0.66543,1.05436,1,1,1
